Entity,Year,Records,Organization Type,Root Cause
2018 British Airways cyberattack,2018,500000,Air Transportation,Threat Actor
21st Century Oncology,2016,2200000,Health Care Services,Threat Actor
500px,2020,14870304,Social Media,Threat Actor
Accendo Insurance Co.,2020,175350,Insurance,Misconfiguration
Adobe Inc.,2019,7500000,Software Publishing,Misconfiguration
Adobe Systems Incorporated,2013,152000000,Software Publishing,Threat Actor
Advocate Medical Group,2017,4000000,Health Care Services,Insider Risk: Non-Malicious
AerServ (subsidiary of InMobi),2018,75000,Advertising Services,Threat Actor
"Affinity Health Plan, Inc.",2013,344579,Health Insurance,Insider Risk: Non-Malicious
Air Canada,2018,20000,Air Transportation,Threat Actor
Airtel,2019,320000000,Telecommunications,Misconfiguration
Ancestry.com,2021,300000,Online Services,Misconfiguration
Animal Jam,2020,46000000,Gaming,Threat Actor
"Ankle & Foot Center of Tampa Bay, Inc.",2021,156000,Health Care Services,Threat Actor
Anthem Inc.,2021,80000000,Health Insurance,Threat Actor
AOL,2014,2400000,Online Services,Threat Actor
AOL,2021,20000000,Online Services,Insider Risk: Non-Malicious
AOL,2021,92000000,Online Services,Insider Risk: Malicious
Apple,2021,275000,Consumer Electronics,Threat Actor
Apple Health Medicaid,2021,91000,Health Care Services,Misconfiguration
"Apple, Inc./BlueToad",2021,12367232,Software Publishing,Insider Risk: Non-Malicious
Ashley Madison,2015,32000000,Online Services,Threat Actor
AT&T,2010,114000,Telecommunications,Threat Actor
AT&T,2008,113000,Telecommunications,Insider Risk: Non-Malicious
Auction.co.kr,2008,18000000,E-commerce,Threat Actor
Automatic Data Processing,2005,125000,Business Services,Misconfiguration
"AvMed, Inc.",2009,1220000,Health Insurance,Insider Risk: Non-Malicious
Bailey's Inc.,2015,250000,Retail,Threat Actor
Bank of America,2005,1200000,Banking,Insider Risk: Non-Malicious
Bell Canada,2018,100000,Telecommunications,Threat Actor
Bell Canada,2017,1900000,Telecommunications,Misconfiguration
Benesse,2014,35040000,Educational Services,Threat Actor
Betfair,2010,2300000,Online Gambling,Threat Actor
Bethesda Game Studios,2011,200000,Gaming,Threat Actor
Blank Media Games,2018,7633234,Gaming,Threat Actor
Blizzard Entertainment,2012,14000000,Gaming,Threat Actor
BlueCross BlueShield of Tennessee,2009,1023209,Health Insurance,Insider Risk: Non-Malicious
BMO and Simplii,2018,90000,Banking,Misconfiguration
California Department of Child Support Services,2012,800000,Government,Insider Risk: Non-Malicious
Canva,2019,140000000,Online Services,Threat Actor
Capcom,2020,350000,Gaming,Threat Actor
Capital One,2019,106000000,Banking,Misconfiguration
"CardSystems Solutions Inc. (MasterCard, Visa, Discover Financial Services and American Express)",2005,40000000,Payment Processing Services,Threat Actor
CareFirst BlueCross Blue Shield - Maryland,2015,1100000,Health Insurance,Threat Actor
